#TYPE System.Object
"Site","eBO_Server","eBO_Version","eBO_URL"
"002","cognos22","7.3-Viewer","https://site002-4w33txyo.chartwire.com/p2pd/servlet/dispatch?"
"006","cognos12","7.1-Viewer","http://192.168.5.100:9006/p2pd/servlet/dispatch?"
"017","cognos20","7.1 Viewer","https://site017-mvbx7531.chartwire.com/p2pd/servlet/dispatch?"
"019","vmhost01","4.0.8","http://192.168.5.100:8001/eBOsite019/cgi-bin/cognos.cgi"
"029","cognos20","7.1 Viewer","http://192.168.5.100:9029/p2pd/servlet/dispatch?"
"035","cognos13","7.0.1-Full","http://192.168.5.100:9035/p2pd/servlet/dispatch?"
"036","cognos20","7.1 Viewer","http://192.168.5.100:9036/p2pd/servlet/dispatch?"
"040","vmhost01","7.1-Viewer","https://site040-jx8u5az.chartwire.com/p2pd/servlet/dispatch?"
"049","cognos20","7.1 Viewer","http://192.168.5.100:9049/p2pd/servlet/dispatch?"
"054","cognos06","7.0.1-Viewer","https://site054-s8u6bv2m.chartwire.com/p2pd/servlet/dispatch?"
"055","cognos13","7.1-Viewer","http://192.168.5.100:9055/p2pd/servlet/dispatch?"
"057","cognos09","7.2-Viewer","http://192.168.5.100:9057/p2pd/servlet/dispatch?"
"062","cognos12","7.1 Viewer","http://192.168.5.100:9062/p2pd/servlet/dispatch"
"065","cognos03","7.1-Viewer","http://192.168.5.100:9065/p2pd/servlet/dispatch?"
"073","cognos13","4.0.8","http://192.168.5.100:8013/eBOsite073/cgi-bin/cognos.cgi?"
"074","cognos13","7.1-Viewer","http://192.168.5.100:9074/p2pd/servlet/dispatch?"
"081","cognos18","4.0.8","http://192.168.5.100:8018/eBOsite081/cgi-bin/cognos.cgi?"
"083","cognos20","7.1 Viewer","http://192.168.5.100:9083/p2pd/servlet/dispatch?"
"084","cognos14","4.0.8","http://192.168.5.100:8014/eBOsite084/cgi-bin/cognos.cgi?"
"088","cognos17","7.2-Viewer","https://site088-dqzbn6s3.chartwire.com/p2pd/servlet/dispatch?"
"090","cognos10","7.1 viewer","http://extrovert:9090/p2pd/servlet/dispatch?"
"091","cognos12","4.0.8","http://192.168.5.100:8012/eBOsite091/cgi-bin/cognos.cgi"
"092","cognos07","7.1 Viewer","http://192.168.5.100:9092/p2pd/servlet/dispatch?"
"097","cognos13","7.1-Viewer","http://192.168.5.100:9097/p2pd/servlet/dispatch"
"098","cognos17","7.2-Full","https://site098-kju831za.chartwire.com/p2pd/servlet/dispatch?"
"099","cognos06","7.3-Viewer","https://site099-gxz74qk2.chartwire.com/p2pd/servlet/dispatch?"
"101","cognos09","4.0.8","http://cognos09/eBOsite101/cgi-bin/cognos.cgi?"
"103","vmhost01","7.1-Full","https://site103-uxzw24qd.chartwire.com/p2pd/servlet/dispatch?"
"105","cognos12","7.1-Viewer","http://192.168.5.100:9105/p2pd/servlet/dispatch?"
"106","cognos13","4.0.8","http://192.168.5.100:8013/eBOsite106/cgi-bin/cognos.cgi?"
"109","cognos17","4.0.8","http://192.168.5.100:8017/eBOsite109/cgi-bin/cognos.cgi?"
"110","vmhost01","4.0.8","http://192.168.5.100:8001/eBOsite110/cgi-bin/cognos.cgi?"
"112","cognos13","7.1-Viewer","http://192.168.5.100:9112/p2pd/servlet/dispatch?"
"126","cognos22","7.2 - Viewer","https://site126-h551f77a.chartwire.com/p2pd/servlet/dispatch?"
